,Title,Categories,Status,Views,Comments,Follows,Introduction,Last Update,Latest Chapter
88,Âm Hồn Bất Tán,"Comedy, Manhua, Mystery, Romance, Truyện Màu, Xuyên Không",Đang tiến hành,1724,13,169,"Từ Tiễu Tiễu là một cô gái với vẻ ngoài điềm tĩnh, trí thức nhưng khi ở nhà cô lại là một nữ sinh cao trung bừa bộn, luộm thuộm… Một ngày nọ, cô bị một nhạc sư có ngoại hình anh tuấn xuyên không từ cổ đại đến bám vào người!? Cùng lúc đó hàng xóm mới chuyển đến sống cạnh nhà cô là một tên thiếu niên mặt lạnh thích chơi âm nhạc, cậu ta còn muốn kéo cô tham gia vào ban nhạc do mình sáng lập?!… Cuộc sống sinh hoạt bình thường vốn có của cô liền bị hồn ma nhạc sư kia cùng tên hàng xóm đáng ghét làm cho đảo lộn đến gà bay chó sủa……",27/08//2021,Chapter 2
89,Ta Bị Phong Ấn Chín Trăm Triệu Thứ,"Action, Adventure, Manhua, Truyện Màu",Đang tiến hành,2248235,532,16512,,27/08//2021,Chapter 44
90,Tôi Trở Thành Đầu Bếp Của Long Vương,"Comedy, Fantasy, Manhwa, Romance, Slice of Life, Truyện Màu",Đang tiến hành,318933,135,4878,Cô bé nhỏ Shim Cheongi bị buộc trở thành vật hiến tế và gieo mình xuống biển Indangsu. Nhưng kì lạ thay cô bé lại không chết mà khi tỉnh dậy cô thấy mình đang ở trong hầm ngục của một con rồng lười biếng (suốt ngày chỉ ngủ). Chuyện gì sẽ xảy ra tiếp theo? Cuộc gặp gỡ với con quái vật sẽ làm cho cuộc sống của cô nở hoa hay bế tắc? Cô sẽ làm gì để chinh phục Long Vương? Mời mọi người cùng nhau theo dõi câu chuyện hài hước và dễ thương này nhé!!!,27/08//2021,Chapter 21
91,Nhân Vật Phản Diện Bất Tài,"Action, Manhwa",Đang tiến hành,266869,301,5096,"Anh ta thậm chí không thể giết người, nhưng anh ta là một nhân vật phản diện? Đó là loại nhân vật phản diện nào? Kim Dong Jin, một học sinh trung học tự gọi mình là nhân vật phản diện chuyên khám phá mặt tối. Và điểm yếu chết người của nhân vật phản diện này là…",27/08//2021,Chapter 20
92,Aposimz,"Action, Adventure, Drama, Horror, Mecha, Sci-fi, Tragedy",Đang tiến hành,389284,236,2654,Đọc Đi,27/08//2021,Chapter 54
93,Tsumuji Magari × Spring,"Comedy, Ecchi, Manga, Romance, School Life, Supernatural",Đang tiến hành,47873,50,2523,,27/08//2021,Chapter 6
94,"Nghề Nghiệp Thế Thân, Lương Lúc Mười Vạn","Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,4162,9,430,"Kỷ Phồn Âm không may xuyên qua thì biết mình là một thế thân – thế cho em gái song sinh Kỷ Hân Hân. Kỷ Phồn Âm: Có thể làm người thay thế, nhưng phải trả giá khác, lương lúc 10 vạn, không trả qua thẻ ghi nợ.",27/08//2021,Chapter 1
95,Cô Ấy Thật Xinh Đẹp,"Manhua, Ngôn Tình, Romance, Truyện Màu",Hoàn thành,891092,191,9666,"Cô ấy là đóa bạch sơn trà giữa đêm tối, vừa xinh đẹp lại thuần khiết… Đối với chuyện tình cảm đau não của cô ấy, vòng vèo mãi lại dành trọn bản thân cho người bảo tiêu thân cận của mình… Người bảo tiêu này lại là đứa trẻ mà 12 năm trước bị cô xem là “kẻ thù” !? Càng làm người ta đau đầu hơn là người bảo tiêu ấy còn là học đệ mà cô từng trêu ghẹo",27/08//2021,Chapter 28
96,Chỉ Có Em Trong Tim,"Manhua, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,128554,90,1982,"Truyện được thực hiện bởi Nguyệt Bích Team, ghé qua facebook của Nguyệt Bích Team để được đọc truyện sớm nhất nhé mọi người
Facebook: https://www.facebook.com/groups/173520137276264/
-Thân-",27/08//2021,Chapter 9
97,Gokutsuma Days: Gokudou Sankyoudai ni semaretemasu,"Comedy, Manga, Romance, Shoujo",Đang tiến hành,301069,326,5218,"Sakura (một otaku và hikikomori nghiện game) đã cứu một ông cụ khỏi tai nạn giao thông nhưng hóa ra đó chính là người đứng đầu một băng đảng Yakuza. Để trả ơn cô, ông đã ra lệnh rằng nếu một trong ba người cháu trai của mình có thể làm Sakura phải lòng mình thì người đó sẽ trở thành thủ lĩnh tiếp theo của băng đảng.
~Bản dịch do S.T Manga thực hiện~",25/12//2020,Chapter 8
98,Osasete! My Teacher,"Comedy, Manga, School Life, Shounen, Slice of Life",Đang tiến hành,31175,50,1238,"Aiko Oshitani - một cô giáo mới vào nghề - đang cực kì lo lắng về việc làm thế nào để có thể làm quen với các học sinh của mình. Nhưng may mắn thay, những học sinh nhận ra sự lo lắng ấy và muốn giúp đỡ cô vào ngày hôm sau. Với những cây lightstick trên tay, những học sinh cổ vũ cô như cách chúng cổ vũ một Idol thứ thiệt!!! Nhưng liệu những giáo viên khác sẽ nói gì về việc này đây? Hãy cùng đón chờ nhé!",26/08//2021,Chapter 8
99,Tôi Đang Thích Chị Gái Nhà Bên,"Manga, Romance, Shounen, Slice of Life",Đang tiến hành,4368,25,509,"Shia-san sống cạnh nhà tôi là một người rất hồn nhiên và vui vẻ. Chị ấy lớn hơn tôi 3 tuổi. Không biết từ bao giờ, tôi đã rất thích chị ấy. Tôi đã nhiều lần cố nói ra tình cảm của mình dành cho chị ấy...nhưng chị ấy chưa bao giờ hiểu được!! Tôi tự hỏi liệu chuyện tình đơn phương này có bad end không đây...!!",26/08//2021,Chapter 1
100,Trở Thành Đạo Sư Dũng Sĩ,"Action, Manhua, Truyện Màu, Xuyên Không",Đang tiến hành,666203,222,7956,,26/08//2021,Chapter 40
101,Yasei No Last Boss Ga Arawareta,"Action, Adventure, Chuyển Sinh, Fantasy, Gender Bender",Đang tiến hành,2234511,2729,15995,Thanh niên bị dịch chuyển vào game và biến thành gái,26/08//2021,Chapter 40
102,Yaoguai Mingdan,"Action, Comedy, Ecchi, Fantasy, School Life, Seinen",Đang tiến hành,1199215,96,2594,Đại khái là hự hự á... và các vấn đề liên quan :3,26/08//2021,Chapter 134
103,Hải Cẩu Bay Lắc,"Comedy, Slice of Life, Truyện Màu, Webtoon",Đang tiến hành,84222,238,582,"Từ tác giả của cơn sốt Twitter ""100 Ngày Nữa Chú Cá Sấu Này Sẽ Chết"", đến với bộ truyện 4 ô 100 chương về một chú hải cẩu xinh xắn, ngộ nghĩnh, nhưng không thể tiếp đất.",25/08//2021,Chapter 15
104,"Arisugawa ở thế giới ""tươi đẹp"" - Uruha no Sekai de Arisugawa","Chuyển Sinh, Isekai, Romance, School Life",Đang tiến hành,46003,52,603,"Bộ truyện tiếp theo của tác giả hai bộ truyện đình đám một thời là MAR Heaven và Flame of Recca Team dịch củ chuổi nên tiến độ sẽ rất chậm.
Nobuyuki Anzai (tác giả của Mar)",25/08//2021,Chapter 13
105,Danh Sách Yêu Quái,"Action, Comedy, Ecchi, Fantasy, Manhua, School Life, Seinen, Truyện Màu",Đang tiến hành,1253661,131,3914,Đại khái là hự hự á... và các vấn đề liên quan :3,25/08//2021,Chapter 134
106,Hajirau Kimi Ga Mitainda,"Comedy, Ecchi, Manga, Romance",Đang tiến hành,293207,227,4426,"Shirasawa Akihito có người cha là một đạo diễn phim ảnh . Cậu ấy đã nhìn thấy một điều đáng kinh ngạc, đó là cận cảnh cô bạn cùng lớp Motogami Kaho đang tự sướng .Dù hơi lúng túng nhưng cậu lại lấy điện thoại ra và chụp lại cảnh đó.Kaho đã để ý thấy và đã đưa ra cho Akihito một ý tưởng “ Người con trai nhà làm phim X cô gái lộ hàng “, bắt đầu một tình yêu trong trắng của tuổi thanh xuân.",25/08//2021,Chapter 5
107,Juukinzoku kanojo,"Adult, Manga, Romance, School Life",Đang tiến hành,35903,30,796,À ờ biết nói gì nhỉ? Một thằng biến thái và một bé ló lì hết,24/08//2021,Chapter 12
108,Kiên Quyết Từ Chối Làm Ma Nữ,"Cổ Đại, Comedy, Manhua, Ngôn Tình, Romance, Truyện Màu, Xuyên Không",Đang tiến hành,259317,84,9334,"Xuyên vào game Otome làm vai ác đại BOSS, thật ra An Đại Nhĩ không hoảng hốt. Chỉ cần cô tu tâm dưỡng tính, tránh năng lực sở hữu ma nữ trong cốt truyện, thế là không cần trở thành đá kê chân như nguyên chủ. Sự thật chứng minh… mấy cái suy nghĩ tốt đẹp này, thật ra chỉ toàn là ảo tưởng. An Đại Nhĩ: Ta chỉ muốn yên yên ổn ổn, chỉ mình ta ổn là được, ta không muốn chết đâu. Nhưng mà tên cẩu hệ thống kia không phải là người mà, cứ bức ta làm phụ!",24/08//2021,Chapter 15
109,Đế Vương Trắc,"Comedy, Manhua, Ngôn Tình, Romance, Shoujo, Truyện Màu",Đang tiến hành,26858824,8520,34193,,24/08//2021,Chapter 257
110,Kinsho no Nanako-san,"Comedy, Manga, Seinen, Shoujo Ai, Slice of Life",Đang tiến hành,82467,65,1314,Câu chuyện kể về một cô nàng đã có chồng thường xuyên giúp hàng xóm của mình,24/08//2021,Chapter 11
111,Tiền Bạc Và Quyền Lực,"Manhwa, School Life, Shounen, Truyện Màu",Đang tiến hành,1019285,111,5695,"Khi ba chaebol đến một trường THPT bình dân, học sinh và giáo viên phải dốc toàn lực trong “trò chơi đấu trí” để mưu câu quyền lực bằng cách đầu hàng trước những nhà tư sản. Dan Geon - một thiên tài đến để kế thừa luật lệ của trường học",24/08//2021,Chapter 57
112,Khu Vườn Câm Lặng,"Cổ Đại, Manhwa, Truyện Màu",Đang tiến hành,23829,11,1468,,24/08//2021,Chapter 13
113,Mạt Thế Nữ Vương,"Comedy, Drama, Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,5010169,958,22384,"Linh hồn đỉnh cấp nữ đặc công xuyên về cổ đại trở thành một thiếu nữ bi thương, ở cái thế giới cương thi hoành hành này, một bên phải chiến đấu để sinh tồn, một bên tay xé tiện nhân chân đạp cặn bã.",24/08//2021,Chapter 75
114,Trò Chơi Hôn Nhân Sinh Tồn,"Adult, Drama, Ecchi, Harem, Mature, Mystery, Psychological, Seinen, Smut",Đang tiến hành,6386441,1072,13094,"Từ tác giả của Deadtube và Tomodachi Game đến với một câu chuyện điên rồ mới. Show truyền hình nổi tiếng Tamarowa, nơi các cô gái từ những hoàn cảnh khác nhau tham gia vào các thử thách để giành lấy tình yêu từ một chàng trai giàu có. Tham vọng đổi đời đã khiến các cô gái ngày càng tha hóa, bộc lộ những mặt đen tối nhất bên trong. Họ sẵn sàng thao túng, phản bội, tiêu diệt lẫn nhau để giành lấy được thứ họ muốn. Ai sẽ là người chiến thắng? Và còn lại gì sau tất cả cho họ?",24/08//2021,Chapter 20
115,Làm Thế Nào Để Sử Dụng Thiên Thần,"Comedy, Manhwa, Supernatural, Truyện Màu",Đang tiến hành,8493,12,983,"Bị một nhóm tổ chức bắt cóc và Sion sắp trở thành tế phẩm cho lễ triệu hồi. Ngay sắp khi bị tấn công, bức tường trước mặt cô bổng dưng sụp đổ, và thay chỗ cho bóng tối chính là bóng dáng một người cao lớn, chói lóa. Người mới đến đó sở hữu một vẻ điển trai đến lầm tưởng là thiên thần. Sion nghỉ rằng bản thân đã được cứu, cảm thấy nhẹ nhỏm. Nhưng… bùm… anh ta nhận nhầm cô với người khác và rút thanh kiếm ra…?! Kiom có thể sống sót không?",23/08//2021,Chapter 3
116,Nếu ngày đó chúng ta chưa quen biết,"Manhua, NetTruyen, Ngôn Tình, Romance, Truyện Màu",Đang tiến hành,2612250,1800,16154,"[ CẬP NHẬT VÀO THỨ 2 ]
Hôm đó, một điều khủng khiếp đã xảy ra ở nhà ... người anh trai hoảng hốt dẫn em gái bỏ trốn, hai đứa trẻ sau đó được đặt tên là"" Đứa con của thần chết"". Trong thời gian ở bên nhau, cả hai đã nảy sinh ra những tình cảm cấm kị mà không hay biết...
Chúc các độc giả đọc truyện vui vẻ !
TRUYỆN ĐƯỢC PHÁT HÀNH TẠI:
Facebook: facebook.com/KhaNhu.Ele
Youtube: Sweet Comic Channel
Website: NETTRUYEN",23/08//2021,Chapter 51
117,"Đơn Phương 37,5","Manhua, Romance, Shoujo, Truyện Màu",Đang tiến hành,379094,280,3908,"Hai người vốn là bạn thanh mai trúc mã, là bạn tốt của nhau. Vì vậy mà....thầm mến nhau bao lâu mà không hề nói ra. Đơn phương ấy mà, là một loại tình cảm rất dày vò người khác. Một người cố gắng làm tất cả những chuyện mà các cặp đôi thường làm, một người rối loạn, một người hoang mang....Sợ rằng nếu nói ra câu tỏ tình lại bị coi là lời đùa cợt. Càng sợ hơn rằng sau khi bày tỏ lại không còn tư cách để đối tốt với người ta nữa. Mối tình đầu ngây thơ, biến khéo thành vụng, tưởng chừng như là một câu chuyện ngược tâm, nhưng thực chất lại là một câu chuyện tình yêu vô cùng ngọt ngào.",23/08//2021,Chapter 40
118,ZodiacBoys,"Comedy, Comic, School Life, Shoujo, Shounen, Slice of Life, Thiếu Nhi, Việt Nam",Đang tiến hành,12791,8,140,"Dự án truyện tranh về các chàng trai cung hoàng đạo. Thể loại: Học đường, bựa, hài nhảm. Giới thiệu sơ lược nội dung: 12 chàng trai trẻ khỏe, đẹp trai, chuẩn men, tuổi xuân đang phơi phới. Ngày đầu tiên nhập học đã nhận được thông tin sét đánh ngang tai: Bị quăng vào 1 lớp thực nghiệm chỉ có đúng 12 đứa đực rựa trong khi các lớp khác gái trai đuề huề. Hóa ra đây là lớp thí điểm phương pháp đào tạo mới, dựa trên tính cách các cung hoàng đạo. Nếu thành công sẽ nhân rộng thành lớp nữ hoàng đạo, lớp nam - nữ hoàng đạo cho năm sau. 12 chàng trai với 12 tính cách khác biệt - vốn không tin vào những thứ bói toán tào lao của bọn con gái - dễ dàng gì chấp nhận số phận ngang trái như vậy. Nhiều biến cố, nổi loạn, cũng như tình bạn, trải nghiệm hài hước sẽ xảy ra với lớp học đặc biệt này.",23/08//2021,Chapter 7.5
119,Armor Ranger Prime,"Action, Drama, Romance, Supernatural",Đang tiến hành,3734,16,53,Câu chuyện về chàng trai tên Hoài Phi chiến đấu chống lại các quái nhân Homunculus thuộc tổ chức Venom dưới lớp áo giáp ARMOR RANGER PRIME. Câu chiến đấu không chỉ để tìm lại ký ức đã mất mà còn là để bảo vệ người...,20/04//2020,Chapter 3
120,Kimi no Koto Tabeteii?,"Comedy, Fantasy, Manga, Romance, School Life, Sci-fi, Supernatural",Đang tiến hành,53701,177,2195,"Tôi ăn những thứ tương tự cùng một lúc. Nhân vật chính của chúng ta, Omi Sorasaki, là một cậu học sinh trung học bình thường và sùng bái sự bình thường. Bỗng một ngày, một cô gái xinh đẹp và bí ẩn chuyển đến và nói với anh:"" Mình có chuyện muốn nói riêng với cậu sai giờ học."" Nhưng những gì xảy ra sau đó chỉ là làn sóng đầu tiên của một cuộc tấn công vào cuộc sống bình thường của cậu.",22/08//2021,Chapter 6
121,Mối Quan Hệ Nghịch Chuyển,"Manhua, Ngôn Tình, Truyện Màu",Đang tiến hành,17443,21,1107,"Tô Kỳ – 1 nữ tổng tài bá đạo lẫy lừng lần này trở về nước để tiếp quản gia nghiệp, trên đường về đã vô tình gục ngã trước nụ cười thuần khiết của chàng sinh viên năm 4 đại học – Phạm Tiểu Bạch, thế là đã bắt ép người ta phải đi theo mình. Người bạn trai có ma lực hơn người, thu hút được sự chú ý của những người tài giỏi trong giới kinh doanh. Cuối cùng nữ vương sẽ lựa chọn ai đây, hay là sẽ nắm tất cả trong lòng bàn tay?",22/08//2021,Chapter 3
122,Himegasaki Sakurako Wa Kyoumo Fubin Kawaii!,"Comedy, Ecchi, Manga, Romance, School Life, Seinen",Đang tiến hành,115607,242,2176,"Một câu chuyện romcom được kể lại dưới góc nhìn của một cô gái xinh đẹp nhưng không tán đổ được crush là bạn thơ ấu của mình-Himegasaki Sakurako, cùng với hàng loạt những tình huống hề hước của người con gái ấy.",22/08//2021,Chapter 13
123,Gunjou Senki,"Action, Adventure, Drama, Historical, Horror, Mystery, Supernatural, Tragedy",Đang tiến hành,519289,106,2265,"Ngôi trường mà Kouta đang học nằm trên mảnh đất gần thành Azuchi  lúc xưa! Một lời nguyền trút xuống làm ngôi trường trở về thời chiến (1576-1582)! Các học sinh, những câu lạc bộ, thầy giáo, công nhân viên phải cùng nhau sát cánh chống lại các thế lực đương thời. Một bộ truyện đầy máu me…",21/08//2021,Chapter 32
124,Cặp đôi ngốc nghếch,"Comedy, Manga, School Life",Đang tiến hành,27377,42,1033,"Hai đứa ngốc! Lại đi yêu nhau! Ở chung một chỗ, thành cặp đôi não tàn!
Một câu chuyện tình yêu không thể kìm nén của hai bạn học sinh... yêu quá hóa ngốc là có thật?! Vừa trong sáng, không cấm đoán, lại có chút phiền phức, tình yêu này rồi sẽ đi đến đâu?​
Proudly presented to you by the assistant of Miyajima Reiji, author of Kanojo Okarishimasu.
https://www.facebook.com/machinaoneshot/",21/08//2021,Chapter 11.5
125,Bakapple,"Comedy, School Life, Slice of Life",Đang tiến hành,26918,34,691,"2 tên ngốc, và là một đôi thế nên họ được gọi là một cặp đôi ngốc nghếch - baka couple - bakapple
đây là những mẫu chuyện xoay quanh cặp đôi trong sáng này",21/08//2021,Chapter 11.5
126,Maou na Ano Ko to Murabito A,"Comedy, Fantasy, Harem, Romance, Seinen",Đang tiến hành,216985,162,4343,"À ở biết nói gì nhỉ? Một ""Chúa Quỷ"" sống cô đơn như tên gọi, Một ""Anh hùng"" cầm kiếm và đi giúp người khác như danh hiệu và Một ""Chưa biết"".Main thì cũng như bao main ""Cùi"" khác là thường dân chả có gì nổ bật đến khi vào cấp ba. Một câu chuyện hài hước , vui nhộn dễ thương không kém cạnh lãng mạn kèm nóng mắt.",20/08//2021,Chapter 34.5
127,Lam Sí,"Comedy, Manhua, Romance, Truyện Màu",Đang tiến hành,10547327,7131,13903,"Bố đã từng nói: “Minh Lam thật còn sống cũng không đến 6 tuổi.” Câu nói của bố cho thấy cô bé đã chết từ trước 6 tuổi, còn về chết lúc nào, nguyên nhân ra sao…",20/08//2021,Chapter 256
128,Đô Thị Tiên Đế,"Manhua, Truyện Màu, Xuyên Không",Đang tiến hành,4838778,421,20643,,14/08//2021,Chapter 51
129,Kẻ Huỷ Diệt Rơi Vào Lưới Tình Của Tôi,"Manhua, Manhwa, Truyện Màu, Xuyên Không",Đang tiến hành,22634,20,2511,"Chỉ vì một sai lầm mà nổ ra một câu chuyện tình lãng mạn thú vị và mãnh liệt! Một ngày sau khi cuối cùng đã trả hết các khoản nợ thời sinh viên của mình, Amelia tỉnh dậy và thấy rằng cô đã được xuyên không vào một cuốn tiểu thuyết mà cô yêu thích… Nhưng là con gái của một bá tước, người có loại nợ mà cả đời người ta mới trả hết. Cô đến một quán bar để giải tỏa nỗi buồn, nhưng cuối cùng lại say xỉn qua đêm với Công tước Kyle, một người đàn ông đang trên đà tự hủy hoại bản thân. Cô cố gắng thoát khỏi Công tước và danh tiếng khét tiếng của anh ta… Nhưng liệu Amelia có thể thay đổi số phận và cho câu chuyện tình yêu này một kết thúc có hậu?",20/08//2021,Chapter 4
130,"Hãy Đối Xử Tốt Với Loli, Vì Loli Chính Là Đấng Sáng Tạo Toàn Năng!!!","Adventure, Fantasy, Gender Bender, Manga",Đang tiến hành,53670,207,2671,"Nhân vật chính của chúng ta là Toru Jin, một nhân viên làm công ăn lương cho một công ty game nọ. Vốn là một nhà thiết kế kỳ cựu nhưng anh lại đang dần mất đi vị trí của mình trong công ty. Một ngày nọ, anh ta qua đời trong một tai nạn đáng tiếc. Khi Toru nhận ra, anh đã tái sinh thành một cô bé trong một trò chơi mà chính anh từng thiết kế",20/08//2021,Chapter 4
131,Ý Thức Số 8,"Action, Adventure, Manhua, Truyện Màu",Đang tiến hành,47867,27,1046,"Ý thức của con người có thể tách ra khỏi cơ thể. Một nhà khoa học Lăng Lăng, đã bị 《tổ chức》 phái người bắt đi khỏi nơi ở của mình vào đêm trước khi xuất bản một nghiên cứu mang tính cách mạng, từ đó mất tích. Để tìm ra tung tích của mẹ nuôi, Lăng Hoằng bắt đầu âm thầm đối đầu với 《tổ chức》 và khám phá bí mật cuối cùng của 《ý thức》",20/08//2021,Chapter 11
132,Drifters,"Action, Adventure, Manga",Đang tiến hành,943572,149,3162,"Vào thời kì Chiến quốc của Nhật Bản (vào khoảng thế kỷ XV đến XVII) . Đây là thời điểm giao tranh ác liệt của các lãnh chúa nhằm phân định quyền lực, và cũng là thời điểm thể hiện tài năng bản lĩnh của các Samurai - một sự chọn lọc tự nhiên không hơn không kém . Toyohisa là 1 samurai như vậy , trong 1 trận chiến sinh tử , khi anh đang cận kề cái chết, thì bỗng nhiên thấy mình lạc vào 1 thế giới khác lạ. Một thế giới không tưởng. Tại sao? Như thế nào?...... rất nhiều câu hỏi chưa có lời giải đáp...",19/08//2021,Chapter 81
133,Necromance,"Action, Adventure, Comedy, Fantasy, Manga, Romance, Shounen",Đang tiến hành,957553,774,12277,Một chuyện tình giả tưởng giữa vị Dũng Giả bất tử và một vị Đại Thánh Nữ... mà có mùi cái chết ngay chương đầu.,19/08//2021,Chapter 43
134,Tuyệt Thế Phi Đao,"Action, Adventure, Manhua, Mystery, Truyện Màu, Xuyên Không",Đang tiến hành,28367417,3117,33749,"Nhiếp Thần đến linh giới, quật khởi tại đô thị, chỉ là sinh viên như thế nào xem thoả thích tuyệt sắc mỹ nữ, bá chiến các tộc thiên kiêu, trấn áp vạn cổ quần hùng, thời điểm phi đao phá không , thuấn sát chư thiên bá chủ",19/08//2021,Chapter 276
135,Đừng chạm Kando-chan!,"Comedy, Manga, Romance, School Life, Slice of Life",Đang tiến hành,118270,87,3042,"""Tôi sẽ chết nếu cậu chạm tôi đấy!""
Một câu chuyện lãng mạn của một sát thủ vô-cùng-nhạy-cảm, trở thành một nữ sinh trung học",19/08//2021,Chapter 14
136,Mono no Kemonogurashi,"Comedy, Horror, Manga, Slice of Life, Supernatural",Đang tiến hành,469583,150,5299,Đây là trận chiến giữa cô gái không muốn rời khỏi căn hộ của mình và đám yêu ma đang ám tại nơi đây,19/08//2021,Chapter 25
137,Thiên sứ sát nhân,"Action, Drama, Mystery, Shoujo",Đang tiến hành,305597,306,2009,"Rachel (13 tuổi) tỉnh dậy và thấy mình bị mắc kẹt trong tầng hầm của một tòa nhà bỏ hoang. Nếu không có bất kỳ ký ức, hoặc thậm chí là một manh mối, cô lang thang trong tòa nhà, mệt mỏi và chóng mặt. Trong cuộc tìm kiếm của mình, cô tình cờ gặp một gã quấn khăn khắp mình. kẻ tự giới thiệu mình là Zack và anh ta cầm một thứ như lưỡi liềm. Một cuộc phiêu lưu kỳ lạ đang xảy ra giữa họ, những lời hứa xương máu giữa họ, bị mắc kẹt trong tòa nhà kỳ lạ này, không biết tại sao số phận đã đặt họ ở đó. Nhưng họ sẽ liều mạng tìm lối thoát.",19/08//2021,Chapter 23
138,Ngôi Làng Nhỏ Của Tiểu Thư Không Được Chúc Phúc,"Comedy, Fantasy",Đang tiến hành,37554,70,2257,"Celisina đã được tái sinh vào tựa Otome game mà cô rất thích. Ở trong đó, mỗi người đều mang theo mình “sự chúc phúc” từ các vị thần và tinh linh. Nhưng trớ trêu thay, cô lại không có nó, dù chỉ là từ một tinh linh nhỏ bé. Cùng với kí ức từ kiếp trước, cô cũng nhận ra rằng mình là nhân vật phản diện – hôn thê của hoàng tử. Người sẽ có happy ending là bị lưu đày hoặc bad ending là tử hình!? Sau khi biết điều đó, suy nghĩ muốn quản lí lãnh địa liền nảy ra trong đầu cô sau khi huỷ hôn…",19/08//2021,Chapter 3
139,Hatsu X Kon,"Comedy, Manga, Romance, School Life",Đang tiến hành,82005,181,2221,"Ui- một cô bé mất ba mẹ từ khi còn nhỏ muốn tìm được hạnh phúc của riêng mình đã nhập học vào trường trung học Nanami - có tên khác là trường học hôn nhất giàu có. một ngôi trường đặc biệt để tìm ra 2 cặp đôi kế nhiệm chức giám độc của một công ty đứng đầu về mặt IT. Các cặp đôi được hệ thống destiny ghép thành từng cặp ( nam X nữ), và sau 3 năm học dựa vào lượng bầu cử để chọn ra người kế nghiệm . Người được ghép cặp với Ui là Kon- một anh chàng lấy tiền và đẳng cấp làm mục đích sống. Vậy liệu hai bạn trẻ qua 3 năm học đó có nảy nở tình cảm với nhau trong những thắng ngày thanh xuân dư năng lượng của mình không. Câu trả lời là: đọc truyện đi rồi biết...!?",19/08//2021,Chapter 6
140,Bảo Bối Đáng Yêu Đột Kích,"Comedy, Manhua, Ngôn Tình, Romance, Shoujo, Truyện Màu",Đang tiến hành,10458193,1809,24931,"Bị bạn trai phản bội, cô nhận được một món quà bất ngờ từ một người khách lạ ở trên giường. Không những vậy, vì một sự nhầm lẫn, cô đã trao một đêm xuân cho một người đàn ông xa lạ. Và con trai của người này thật sự gắn bó thân thiết với anh ta. Quen biết nhau không bao lâu, anh ta có chứng cứ gì? Một vướng mắc, tình yêu và thù hận, làm sao để chữa lành vết thương của cô gái ấy?",19/08//2021,Chapter 208.1
141,Quy Linh,"Action, Đam Mỹ, Manhua, Truyện Màu",Đang tiến hành,6116,87,203,"Virus không xác định hoành hành khắp nơi trên thế giới. An Địch dính vào thảm họa bất ngờ này và không may qua đời, nhưng đã được đánh thức ở luân hồi, đồng thời gặp lại Y Nặc. Cùng trải qua sinh tử định mệnh với Y Nặc, cả hai dần biết được tình cảm của đối phương…",18/08//2021,Chapter 0
142,Ojou-sama ga Mamorasete Kurenai.,"Comedy, Romance, Shoujo",Hoàn thành,111529,67,2076,"Ichika Kiryuin là con gái duy nhất của một tập đoàn lớn.
Vệ sĩ, Hayama Shuzuku sinh ra trong một gia đình sẽ là vệ sĩ cho nhiều thế hệ, Samurai, người được dạy chỉ sống như một lá chắn dùng một lần.
Tuy nhiên, cô nàng luôn tự bảo vệ mình trước khi vệ sĩ hành động
Thậm trí bảo vệ cả vệ sĩ của mình....!!!!?",18/08//2021,Chapter 20
143,"Bishoujo ni Natta kedo, Netoge Haijin Yattemasu","Adventure, Fantasy, Gender Bender, Magical, Manga",Đang tiến hành,545097,645,6386,Biến thành gái và chơi VRMMO,18/08//2021,Chapter 13
144,"Nhất quỷ nhì ma, thứ ba Takagi","Comedy, Romance, School Life, Shounen, Slice of Life",Đang tiến hành,4748498,2946,10831,"“Đỏ mặt là thua!”
Với niềm tin như vậy, mỗi ngày đến trường với Nishikata là một ngày thua. Cậu học sinh trung học đáng thương luôn bị “quê” bởi những trò chọc phá của cô nàng ngồi cạnh bàn Takagi-san, và dẫu cho cậu bé luôn ấp ủ mộng báo thù cũng như không ngừng bày mưu tính kế, thì cuối cùng những chiêu trò của cậu lại “gậy ông đập lưng ông”.
Theo đánh giá của giới chuyên môn, cách biệt kèo trên và kèo dưới là rất xa, cửa thắng cho cậu bé là cực thấp, bởi có vẻ như cô bé Takagi còn có khả năng nắm bắt được hết những suy nghĩ toan tính của cậu. Song, nhìn về những gì Yokoi đã làm được trước Seki-kun trong Tonari no Seki-kun, liệu chúng ta có nên đặt chút niềm tin vào màn lật kèo phút chót của Nishikata?",18/08//2021,Chapter 149
145,Ta Là Người Duy Nhất Đỡ Được Chiêu Cuối Của Quỷ Vương,"Action, Adventure, Comedy, Fantasy, Manga, Seinen, Slice of Life",Đang tiến hành,788830,342,6882,,18/08//2021,Chapter 26
146,Jisatsushitai Onna Yuusha ni Maou ga Komarasareteimasu!,"Chuyển Sinh, Comedy, Fantasy, Manga",Đang tiến hành,37752,51,1224,Cuộc chiến không cân sức giữa ma vương tàn bạo với 72 phép thần thông thiên biến vạn hóa dịch chuyển càn khôn...bla...bla...blô...blô... khiến ai ai cũng phải khiếp sợ và... một con nhỏ anh (k)hùng nào đó không được bình thường lắm   Junkissa Astral,18/08//2021,Chapter 4
